id,title,ingredients,rating,url
1,Orange Creamsicle Margarita,"2 tablespoons orange zest, salt, and sugar mix (for sugar rim) (optional, see Note), 1 lime wedge, 3 tequila, 2 ounces orange juice, 1 ounce lime juice, 1 ounce triple sec, 1 vanilla ice cream, softened, ice as needed, 2 slices orange or lemon, for garnish",2.7/5,https://www.allrecipes.com/orange-creamsicle-margarita-recipe-11744666
2,Pasta Alla Caponata,"2 eggplants, 1 tablespoon kosher salt, 8 ounces mezze rigatoni,, 1/4 cup extra-virgin olive oil, 2 cloves garlic, 1/2 yellow onion, 1 large red bell pepper, 1 rib celery, 1 teaspoon salt, 2 tablespoons pine nuts, 1 pinch red pepper flakes, 1 tablespoon capers, 1 tablespoon white sugar, 2 tablespoons red wine vinegar, 2 cups crushed tomatoes, 8 basil leaves,, 1/2 cup pecorino cheese",5.0/5,https://www.allrecipes.com/pasta-alla-caponata-recipe-11751754
3,No-Bake Tiramisu Cheesecake,"1 cup water, 2 tablespoons instant espresso coffee powder,, 6 tablespoons coffee liqueur, such as Mr. Black, divided, 2 8-ounce packages) mascarpone cheese, softened, 2( 8-ounce) cream cheese, softened, 1 cup powdered sugar, 1/4 teaspoon salt, 1 tablespoon vanilla extract, 1 (7-ounce) package ladyfingers, 1 cup sliced almonds, toasted, 2 tablespoons white sugar, 1/3 cup butter, melted, 2 cups whipping cream, unsweetened cocoa powder for dusting, as needed, 12 chocolate covered espresso beans",5.0/5,https://www.allrecipes.com/no-bake-tiramisu-cheesecake-recipe-11748557
4,Copycat Chicken Costoletta,"2 (8-12 ounce) boneless chicken breasts, 1/2 teaspoon salt, 3/4 teaspoon ground black pepper, divided, 1/3 cup all-purpose flour, 1 large egg, 2 tablespoons water, 1/4 cup panko bread crumbs, 1/4 cup grated Parmesan cheese, 1 teaspoon lemon zest, 1/4 cup olive oil, 3 tablespoons salted butter, divided, 1 clove garlic, minced, 1 tablespoon all purpose flour, 1/2 cup whipping cream, 3/4 cup reduced-sodium chicken broth, 2 tablespoons lemon juice, 1 tablespoon ijon mustard",5.0/5,https://www.allrecipes.com/copycat-chicken-costoletta-recipe-11756245
5,Easy No Cook Tuna and Avocado Tostadas,"2 cans tuna, 1/3 cup red bell pepper, 1/4 cup green onion, 1 jalapeno, 2 tablespoons mayonnaise, 2 teaspoons balsamic vinegar, 1/2 teaspoon garlic powder, 2 avocados -, 6 tostada shells, 1 lemon,, 1 teaspoon kosher salt, Mexican hot sauce",5.0/5,https://www.allrecipes.com/easy-no-cook-tuna-and-avocado-tostadas-recipe-11763804
6,Lemon Oatmeal Bars,"  cooking spray, 1 cup brown sugar, ½ cup unsalted butter, softened, 1 ⅓ cups all-purpose flour, 1 cup rolled oats, 1 teaspoon baking powder, ½ teaspoon salt, 1 (14 ounce) can condensed milk, ¼ cup lemon juice, 1 teaspoon lemon extract, 1 teaspoon almond extract",4.5/5,https://www.allrecipes.com/recipe/282080/lemon-oatmeal-bars/
7,Chef John's Taco-Stuffed Zucchini Boats,"1 tablespoon olive oil, ⅔ cup diced yellow onion, 1 pound ground beef, 2 cloves garlic, minced, 2 tablespoons diced jalapeno pepper, 1 ½ teaspoons kosher salt, divided, or to taste, 1 tablespoon chili powder, 1 teaspoon paprika, 1 pinch cayenne pepper, or to taste, 1 teaspoon ground cumin, ½ teaspoon dried oregano, 2 teaspoons cornmeal, 1 pinch freshly ground black pepper to taste, 1 cup tomato sauce, ½ cup water, 4 large zucchini, halved lengthwise, 1 ½ cups grated pepper Jack cheese",4.8/5,https://www.allrecipes.com/recipe/281437/chef-johns-taco-stuffed-zucchini-boats/
8,The 4-Ingredient Icebox Pie Our Test Kitchen Calls 'So Easy and So Yummy',"1 (14-ounce) can sweetened condensed milk, 1 teaspoon lime zest or lime zest, plus more for garnish, if desired, 1/2 cup key lime juice or lime juice, 1 3/4 cups whipping cream, divided, 8 graham cracker sheets, cut along the scored lines, 1 tablespoon powdered sugar (optional), 1 teaspoon vanilla extract (optional), crushed graham crackers, for garnish (optional)",4.0/5,https://www.allrecipes.com/key-lime-icebox-pie-recipe-11757764
9,Chicken Biryani,"4 tablespoons vegetable oil, divided, 4 small potatoes, peeled and halved, 2 large onions, finely chopped, 2 cloves garlic, minced, 1 tablespoon minced fresh ginger root, 2  medium tomatoes, peeled and chopped, 1 teaspoon salt, 1 teaspoon ground cumin, ½ teaspoon chili powder, ½ teaspoon ground black pepper, ½ teaspoon ground turmeric, 2 tablespoons plain yogurt, 2 tablespoons chopped fresh mint leaves, ½ teaspoon ground cardamom, 1 (2 inch) piece cinnamon stick, 3 pounds boneless, skinless chicken pieces cut into chunks, 1 pound basmati rice, 2 ½ tablespoons vegetable oil, 1 large onion, diced, 5 pods cardamom, 3  whole cloves, 1 (1 inch) piece cinnamon stick, ½ teaspoon ground ginger, 1 pinch powdered saffron, 4 cups chicken stock, 1 ½ teaspoons salt",4.3/5,https://www.allrecipes.com/recipe/16102/chicken-biryani/
10,Serbian Palacinke,"1 ½ cups all-purpose flour, 2 tablespoons white sugar, ½ teaspoon salt, 4 large egg whites, 3 cups milk, 4 large egg yolks, 3 tablespoons vegetable oil, 2 teaspoons vanilla extract,   1 tablespoon butter for the pan, or more as needed",5.0/5,https://www.allrecipes.com/recipe/283756/serbian-palacinke/
